number,value,state,datetime_start,datetime_complete,duration,params_dim1,params_expansion_ratio,params_image_dim,params_linear_dim,params_lr,params_num_block1,params_num_block2,params_num_block3,params_num_block4,params_patch_size,params_weight_decay,user_attrs_accuracy,user_attrs_freuid,user_attrs_g_apcer,user_attrs_g_audet,user_attrs_last_epoch,user_attrs_precision,user_attrs_recall,user_attrs_val_loss
0,0.0006264162970121001,COMPLETE,2026-07-09 04:47:58.581277,2026-07-09 05:28:37.637260,0 days 00:40:39.055983,108,4,304,256,0.0009571602506980286,5,3,9,6,6,0.08998504424401237,0.9975000023841858,,0.9988344988344988,0.9999132507889075,15.0,0.9953380227088928,0.9988304376602173,0.01688442195839457
1,0.0002628681621739126,COMPLETE,2026-07-09 05:28:37.648858,2026-07-09 06:11:55.090435,0 days 00:43:17.441577,96,4,256,256,0.0001693416393965845,5,4,9,3,6,0.08480410716103433,0.9980000257492065,,1.0,0.999474401838675,15.0,0.997668981552124,0.997668981552124,0.01479335602334686
2,0.0006152021692749088,COMPLETE,2026-07-09 06:11:55.099087,2026-07-09 06:54:57.003887,0 days 00:43:01.904800,108,4,256,512,0.00013850448506350102,4,3,9,5,4,0.06345604578890288,0.9959999918937683,,0.9988344988344988,0.9999357035258961,15.0,0.9930070042610168,0.9976580739021301,0.01853099810114145
3,7.093526876056355e-05,COMPLETE,2026-07-09 06:54:57.010281,2026-07-09 07:44:49.615135,0 days 00:49:52.604854,108,2,336,256,0.00036650198092102993,4,3,12,6,4,0.05431153106768132,0.9975000023841858,,1.0,0.9998581395253898,15.0,0.9953380227088928,0.9988304376602173,0.017942238862389104
4,9.44044444584069e-06,COMPLETE,2026-07-09 07:44:49.623462,2026-07-09 08:16:05.378228,0 days 00:31:15.754766,96,4,288,256,0.0009065619261059559,3,4,12,6,6,0.011744660394974717,0.9980000257492065,,1.0,0.9999811192893505,15.0,0.997668981552124,0.997668981552124,0.012121964168741783
5,0.0012269384824015184,PRUNED,2026-07-09 08:16:05.386643,2026-07-09 08:35:43.539166,0 days 00:19:38.152523,84,2,336,512,0.0002807131608442164,2,3,12,4,6,0.016023405080940696,0.996999979019165,0.0012269384824015184,0.9976689976689976,0.9998795716834246,9.0,0.9941725134849548,0.9988290667533875,0.014415748415558483
6,0.0002526571106133968,COMPLETE,2026-07-09 08:35:43.729006,2026-07-09 09:47:30.548893,0 days 01:11:46.819887,96,2,416,768,0.0005455108336628459,5,4,11,4,4,0.01416743279765287,0.9990000128746033,,1.0,0.9994948134177556,15.0,0.998834490776062,0.998834490776062,0.014436733207244146
7,5.102897373543414e-07,COMPLETE,2026-07-09 09:47:30.555660,2026-07-09 11:01:25.417639,0 days 01:13:54.861979,108,4,352,512,0.00023112110639679232,4,2,9,3,4,0.05046057761210778,0.9990000128746033,,1.0,0.9999989794210459,15.0,1.0,0.9976744055747986,0.0022963107296618546
8,0.007330646884170622,PRUNED,2026-07-09 11:01:25.426468,2026-07-09 11:13:31.524074,0 days 00:12:06.097606,84,4,384,768,0.00012707583153597965,2,5,11,6,6,0.025613570353886582,0.9879999756813049,0.007330646884170622,0.9871794871794872,0.9982206205936504,5.0,0.9918414950370789,0.9804147481918335,0.0514070903591346
9,0.0015872999278844224,PRUNED,2026-07-09 11:13:31.741869,2026-07-09 11:44:52.035821,0 days 00:31:20.293952,84,4,512,256,0.00011482724283313281,3,2,11,3,6,0.01937014116501871,0.9965000152587891,0.0015872999278844224,0.9976689976689976,0.999157512073449,9.0,0.996503472328186,0.9953434467315674,0.01995238507151953
10,0.11115170394612961,PRUNED,2026-07-09 11:44:52.040939,2026-07-09 12:11:17.854844,0 days 00:26:25.813905,108,2,480,512,0.00021388397507520328,3,2,10,4,4,0.03474411969792668,0.9139999747276306,0.11115170394612961,0.8193473193473193,0.9712329410227833,5.0,0.8006992936134338,0.9985465407371521,0.2187488805502653
11,0.00013728671437163165,PRUNED,2026-07-09 12:11:17.859926,2026-07-09 13:02:15.264581,0 days 00:50:57.404655,96,4,384,512,0.0008386921593725216,3,5,10,5,4,0.010262538570947062,0.9980000257492065,0.00013728671437163165,1.0,0.9997254642613662,9.0,0.997668981552124,0.997668981552124,0.010927866887413984
12,0.006001551000372807,PRUNED,2026-07-09 13:02:15.270088,2026-07-09 13:13:30.047275,0 days 00:11:14.777187,96,4,304,256,0.0005632326198975552,4,4,10,5,6,0.03788534473613211,0.9925000071525574,0.006001551000372807,0.9895104895104895,0.9985273045693361,5.0,0.9871794581413269,0.9952996373176575,0.04985967843595063
13,0.0006315137110901592,PRUNED,2026-07-09 13:13:30.329373,2026-07-09 13:31:16.228609,0 days 00:17:45.899236,108,4,224,512,0.0004179830704925157,3,2,12,3,4,0.010766074095591188,0.9984999895095825,0.0006315137110901592,0.9988344988344988,0.9999030449993672,9.0,0.998834490776062,0.9976717233657837,0.010929356993869987
14,,RUNNING,2026-07-09 13:31:16.234017,,,96,4,400,768,0.0007139426707856081,4,5,10,5,6,0.02789507403945132,,,,,,,,
