,trial,value,lr,weight_decay,image_dim,patch_size,num_block1,num_block2,num_block3,num_block4,expansion_ratio,dim1,linear_dim,accuracy,g_apcer,g_audet,last_epoch,precision,recall,val_loss,freuid
trial,1.0,0.2696009513179825,0.05225979094877358,-0.66135598527257,0.3518354673141738,-0.09278843611976076,-0.38892223413129845,0.11396057645963789,0.18834270087522084,-0.22870185106276825,0.13957263155977062,-0.16495721976846445,0.4123930494211613,-0.2677631375084456,-0.27166749302395043,-0.26831845128892245,-0.764345325244929,-0.24683965295944557,-0.21409514723379391,0.29801994672453297,0.042630815675887716
value,0.2696009513179825,1.0,-0.21542100360727437,-0.03802345653680701,0.47146015764345045,-0.24148999734155138,-0.18996440914724713,-0.31567143577518403,-0.11405916956465725,-0.09525875257118721,-0.4217059034405302,0.24503425427314277,0.1301528848575886,-0.9980152599139671,-0.9999671840046808,-0.9995675478288817,-0.4700628791558322,-0.99881052984788,0.05928070192838575,0.9834104232775657,1.0
lr,0.05225979094877358,-0.21542100360727437,1.0,-0.1008217652805627,-0.16819514637510505,0.14915559057378255,0.2432197126144545,0.41373261442562564,0.032714992540252286,0.5103279071601392,0.18325855136519603,0.15048442367488568,-0.11594402590361526,0.234288238280381,0.21613098344554516,0.21790905736734964,0.2233493342412399,0.2042575477008578,0.31244448264103747,-0.23317810221921684,-0.2743288772669566
weight_decay,-0.66135598527257,-0.03802345653680701,-0.1008217652805627,1.0,-0.3591474667082153,0.10032321952813811,0.6555916419575216,-0.1439422072847943,-0.6848352159294812,0.09839681852359844,0.1640330208634608,0.46142764404867864,-0.41859634889981906,0.03490977496412752,0.03865971200956202,0.03822962655835427,0.46154716206978147,0.01999839302394929,0.15949302573598625,-0.03369515715898669,0.5528114164863009
image_dim,0.3518354673141738,0.47146015764345045,-0.16819514637510505,-0.3591474667082153,1.0,-0.010785785934387246,-0.22886835577834116,-0.047191898811072754,0.051605101872857835,-0.12197569533584575,-0.3285362048594715,-0.3667167217691718,0.2768351723159433,-0.4739738747231401,-0.4699552265745789,-0.48385690499253736,-0.3829075875130382,-0.4569998338243699,-0.15927695392284943,0.4709303271789347,0.4657959287919297
patch_size,-0.09278843611976076,-0.24148999734155138,0.14915559057378255,0.10032321952813811,-0.010785785934387246,1.0,-0.11227217828476807,0.3454246398538788,0.031068488300060176,0.20194517395039,0.34247475971078667,-0.6428571428571427,-0.25000000000000006,0.21804127289402248,0.238542444124011,0.2443045289839562,-0.1740776559556982,0.24979427275121535,-0.35485800292245473,-0.15408703441201438,-0.43332152970567794
num_block1,-0.38892223413129845,-0.18996440914724713,0.2432197126144545,0.6555916419575216,-0.22886835577834116,-0.11227217828476807,1.0,0.02585438449975098,-0.5615884240514728,-0.048833776004475915,0.06333004963811259,0.48651277256732794,-0.205832326855408,0.21607730724214394,0.1937448395020175,0.17769159402108284,0.6551093637935429,0.17252926814431155,0.4590092923906815,-0.21374740597223968,0.09262554503477978
num_block2,0.11396057645963789,-0.31567143577518403,0.41373261442562564,-0.1439422072847943,-0.047191898811072754,0.3454246398538788,0.02585438449975098,1.0,-0.04292728552741074,0.5258592477107809,0.22268088570756167,-0.42766860172384974,0.3454246398538788,0.28690431144279455,0.3140083036481716,0.31289537925162164,-0.07724872793364274,0.3269028634524547,-0.4463205193172646,-0.22396164803145874,-0.37965251438099507
num_block3,0.18834270087522084,-0.11405916956465725,0.032714992540252286,-0.6848352159294812,0.051605101872857835,0.031068488300060176,-0.5615884240514728,-0.04292728552741074,1.0,0.11486486486486482,-0.41183728687425925,-0.3417533713006601,0.031068488300060128,0.1135296396437974,0.1133105024773818,0.11708358320893188,-0.1917489941764408,0.12124629740290084,-0.08835897403862747,-0.10560335175981143,-0.438436120042668
num_block4,-0.22870185106276825,-0.09525875257118721,0.5103279071601392,0.09839681852359844,-0.12197569533584575,0.20194517395039,-0.048833776004475915,0.5258592477107809,0.11486486486486482,1.0,0.01752499093081965,0.03106848830006014,-0.031068488300059986,0.06134832503247639,0.09187338038706568,0.10720252383329316,0.04424976788687088,0.0876058359093917,-0.28596978499619236,-0.009776785907702949,-0.06572877979742861
